"",,,,Pág: 1
"",,,LOURENCO E SILVA LTDA,
"",,,CNPJ : 07626439000173 IE : 152496416,
"",,,9491199073 94991199073 CANAÃ DOS CARAJÁS / PA,
"",,,"paulistamconstrucoes@hotmail.com AVENIDA DOS PIONEIROS, 126-B",
"",,,CENTRO,
"",,,01/10/2025 07:40:32,
"",,,Lista de preços,
Tabela Preço : PADRÃO,,,Tipo de Saldo : Geral,
Descrição,,Ncm,No. Fabricante Fabricante Emp UN Estoque,Vlr. Venda
56004 - 11159-C33 - TORNEIRA COZINHA,,84818011,"9937586 MARCHEZAN 1 UN 3,00","80,89"
PAREDE VEDACAO PRESS,,,,
56045 - 1168 F61 PR TORN COZ PAR FITT,,84818019,"LORENZETTI 1 UN -3,00","64,19"
CX/0004,,,,
56044 - 1195 F61 PR TORN LAVAT BA FITT,,84818019,"LORENZETTI 1 UN 1,00","64,19"
CX/0004,,,,
56006 - 1416 1/2-C33 - REGISTRO PRESSAO,,84818095,"MARCHEZAN 1 UN 3,00","51,68"
VEDANTE DN15,,,,
56007 - 1509 3/4-C33 (SACO PLASTICO) -,,84818093,"MARCHEZAN 1 UN -7,00","85,11"
REGISTRO GAVETA LUXO DN20,,,,
56005 - 16046 - MECANISMO-VED.P/ TORN. PIST.,,84818011,"150015 MARCHEZAN 1 UN 0,00","29,26"
AMARELO,,,,
56001 - 16048 - MECANISMO-VED.P/ REG. 1416,,84818011,"150002 MARCHEZAN 1 UN 7,00","28,22"
PIST. AMARELO,,,,
56000 - 16049 - MECANISMO-MVS.P/ REG. 1414,,84818011,"150004 MARCHEZAN 1 UN 11,00","30,39"
PIST. AMARELO,,,,
56306 - 16149 - MECANISMO-MVS.P/ REG.1414,,84818011,"MARCHEZAN 1 UN 16,00","32,60"
PIST. CROMADO,,,,
56150 - 1654 CRUZETA C33 CROM.,,84818019,"11985 AGUIA 1 UN 5,00","18,37"
56003 - 33318 - DUCHA FRIA ARTICULADO 70MM,,84818019,"9941114 MARCHEZAN 1 UN 3,00","88,46"
ATENAS,,,,
55997 - 4790-C80 - TORNEIRA LAVATORIO,,84818011,"9934838 MARCHEZAN 1 UN 5,00","95,47"
BANCADA 90° BICA MO,,,,
55998 - 4795-C80 - TORNEIRA COZINHA,,84818011,"MARCHEZAN 1 UN 1,00","88,50"
BANCADA 90° BICA MOVEL VEDACAO NAO,,,,
COMPRESSIVEL 1/4 VOLTA,,,,
56002 - 6000 - KIT ACESSORIOS P/ BANHEIRO,,76152000,"38412 MARCHEZAN 1 UN 0,00","192,99"
ENCANTO,,,,
55999 - 9499 -C80 - TORN. COZINHA BANCADA,,84818011,"9937490 MARCHEZAN 1 UN 4,00","112,91"
GOURMET DUPLA F,,,,
27049 - ABAFADOR AUDIT PLUG SILIC - KALIPSO,,82055900,"920646 NOVA DISTR 1 UN 81,81","1,83"
53238 - ABAFADOR AUDITIVA - DELTAPLUS,,40159000,"190401 NOVA DISTR 1 UN -6,00","13,93"
55745 - ABRACAD INOX 13-19MM C/BORBOLETA,,73269090,"022273 TAMBASA AT 1 UN 26,00","3,04"
50661 - ABRACAD. ACO LAMP FLU 20/40/110 T8,,73269090,"180130 TAMBASA AT 1 UN 79,00","2,31"
"56588 - ABRACADEIRA (3/4"") (VERDE) 4G/5G",,84139190,"50200 ANAUGER 1 UN 9,00","12,10"
37508 - ABRACADEIRA ARGOLA 83-10 INCA,,73269090,"CENTER MAT 1 UN 9,00","5,93"
55706 - ABRACADEIRA BORBOLETA 19X27,,73269090,"0515.019.027 LOTUS 1 UN -52,00","4,58"
39993 - ABRACADEIRA CABIDEIRA GRANDE,,73269090,"CENTER MAT 1 UN 2,00","0,64"
40002 - ABRACADEIRA CABIDEIRA PEQUENA,,73269090,"CENTER MAT 1 UN 53,00","0,51"
40231 - ABRACADEIRA COLORIDA 10CM,,39269090,"57440/928 TRAMONTINA 1 UN 0,00","0,08"
40240 - ABRACADEIRA COLORIDA 15CM,,39269090,"57440/915 TRAMONTINA 1 UN -16,00","0,28"
"53462 - ABRACADEIRA COLORIDA 9,5CM",,39269090,"57440/909 TRAMONTINA 1 UN 0,00","0,32"
54316 - ABRACADEIRA INOX BORBOLETA 13-23,,73269090,"3710 LOTUS 1 UN -101,00","2,86"
54315 - ABRACADEIRA INOX BORBOLETA 14-27,,73269090,"3711 LOTUS 1 UN 234,00","2,98"
54314 - ABRACADEIRA INOX BORBOLETA 18-32,,73269090,"3712 LOTUS 1 UN 172,00","3,04"
55181 - ABRACADEIRA MANGOTE 1.1/2¿,,73269090,"45403 NEGRAO 1 UN 10,00","20,00"
48X56MM,,,,
55182 - ABRACADEIRA MANGOTE 1.1/4¿,,73269090,"45411 NEGRAO 1 UN 10,00","18,96"
39X47MM,,,,
"56246 - ABRACADEIRA NYLON 12,5X600MM",,39269090,"4202194 FOXLUX 1 CD 0,00","2,07"
"53434 - ABRACADEIRA NYLON 2,5X100MM",,39269090,"422851 FOXLUX 1 UN 0,00","0,11"
"54919 - ABRACADEIRA NYLON 2,5X120MM",,39269090,"149160 FOXLUX 1 UN 0,00","0,36"
"53435 - ABRACADEIRA NYLON 2,5X140MM",,39269090,"37185 FOXLUX 1 UN 0,00","0,33"
"53436 - ABRACADEIRA NYLON 2,5X150MM",,39269090,"422657 FOXLUX 1 UN 0,00","0,12"
"54921 - ABRACADEIRA NYLON 2,5X80MM",,39269090,"149454 FOXLUX 1 UN 0,00","0,19"
"55453 - ABRACADEIRA NYLON 3,5X200MM",,39269090,"4201864 FOXLUX 1 UN -4,00","0,29"
Usuário CLAUDIO FILHO,,,1 / 184 Eptus ERP Enterprise v.6.04.01.001,
"",,Pág: 2
"",,Pág: 139
"",LOURENCO E SILVA LTDA,
"",CNPJ : 07626439000173 IE : 152496416,
"",9491199073 94991199073 CANAÃ DOS CARAJÁS / PA,
"","paulistamconstrucoes@hotmail.com AVENIDA DOS PIONEIROS, 126-B",
"",CENTRO,
"",01/10/2025 07:40:32,
"",Lista de preços,
54437 - RESISTENCIA 220V/3200W REF.055-R,"85168010 7589002 LORENZETTI 1 UN -10,00","25,41"
54673 - RESISTENCIA 220V/3200W REF.065-R,"85168010 7589124 LORENZETTI 1 UN 0,00","26,34"
52779 - RESISTENCIA 220V/3200W REF.2510,"85168010 01625102 FAME 1 UN 0,00","29,28"
53895 - RESISTENCIA 220V/3200W REF.3284,"85168010 01632842 FAME 1 UN 0,00","27,50"
54242 - RESISTENCIA 220V/4000W REF.400-C,"85168010 7589053 LORENZETTI 1 UN 0,00","18,00"
3301 - RESISTENCIA 220V/4600W REF.055-B,"85168010 7589003 LORENZETTI 1 UN -15,00","31,69"
51955 - RESISTENCIA 220V/4600W REF.065-B,"85168010 7589113 LORENZETTI 1 UN -7,00","34,79"
56219 - RESISTENCIA 220V/5500W REF.055-A,"85168010 421030 LORENZETTI 1 UN 21,00","28,93"
55720 - RESISTENCIA 220V/5700W 055-N,"85168010 7589032 LORENZETTI 1 UN 9,00","45,71"
53925 - RESISTENCIA 220V/6400W REF.3055-P,"85168010 7589061 LORENZETTI 1 UN 0,00","45,17"
52239 - RESISTENCIA 220V/6800V REF.3341,"85168010 01633412 FAME 1 UN 0,00","29,27"
54368 - RESISTENCIA 220V/6800W REF.055-H,"85168010 7589033 LORENZETTI 1 UN -1,00","26,48"
46159 - RESISTENCIA 220V/6800W REF.3056-A,"85168010 7589073 LORENZETTI 1 UN -1,00","38,45"
55426 - RESISTENCIA 220V/6800W REF.3056-G,"85168010 7589122 LORENZETTI 1 UN -2,00","49,75"
51727 - RESISTENCIA 220V/6800W REF.3060-B,"85168010 7589104 LORENZETTI 1 UN 1,00","51,68"
51957 - RESISTENCIA 220V/6800W REF.3065-A,"85168010 7589119 LORENZETTI 1 UN -10,00","88,36"
38750 - RESISTENCIA 220V/6800W REF.3065-E,"85168010 7589234 LORENZETTI 1 UN 3,00","35,55"
54413 - RESISTENCIA 220V/6800W REF.3282,"85168010 01632822 FAME 1 UN 0,00","29,27"
53691 - RESISTENCIA 220V/7500W REF.3055-O,"85168010 7589062 LORENZETTI 1 UN 8,00","38,57"
51958 - RESISTENCIA 220V/7500W REF.3056-F,"85168010 7589078 LORENZETTI 1 UN 15,00","75,43"
46124 - RESISTENCIA 220V/7800W REF.3055-U,"85168010 7589065 LORENZETTI 1 UN 5,00","29,11"
56577 - RESISTENCIA ELETRICA 4500W 220V -,"85168010 RE45V2 ASTRA S/A 1 UN 36,00","18,13"
RE45V2,,
56335 - RESISTENCIA INTENSE 127V 5400W,"85168010 01644881 FAME 1 UN 4,00","62,69"
56336 - RESISTENCIA INTENSE 220V 6500W,"85168010 01644892 FAME 1 UN 3,00","61,88"
50935 - REUMO ALUMINIO PESADO N4,"73182200 ARMARINHO 1 UN 40,00","19,15"
51340 - REVESTIMENTO P/CHURRASQUEIRA,"69071000 55240 CERAMICA T 1 MT 1,00","48,84"
"5,5X24",,
54865 - REVESTIMENTO PLAST 3DORIGAMI,"39189000 R3D/ORI*BR1 ASTRA S/A 1 MT 28,25","125,19"
50X50,,
53347 - REVITALIZADOR P/PLAST/BORR 100G,"39100012 3890111100 WURTH 1 UN 4,00","53,57"
54637 - REZINA COM CATALIZADOR 900ML,"73170090 452111 WURTH 1 UN -1,00","26,87"
"21032 - RIPAO 7X2,5 CASTANHA ROSA","73182200 TIRIRICA 1 MT -59,50","6,57"
55900 - RISCADOR ACO 130MM PISO - CORTAG,"82055900 920646 CORTAG 1 UN 17,00","11,43"
"52544 - ROCADEIRA GASOLINA 51,7C 2 TEMPOS","84678900 00020903.9 GMEG 1 UN 0,00","1.243,14"
"53178 - ROCADEIRA STHILL, MOD: FS290","84678900 00020903.9 GMEG 1 UN 0,00","2.509,51"
51666 - RODA ALUMINIO 8¿ CARGA 200KG,"87169090 424781 NEGRAO 1 UN 1,00","126,71"
WORKER,,
55853 - RODA CARRINHO CONST.COMPL(EVA),"87169090 085270 TAMBASA AT 1 UN 2,00","167,58"
19MM,,
55854 - RODA CARRINHO CONST.COMPL(EVA),"87169090 085271 TAMBASA AT 1 UN 0,00","167,58"
27MM,,
33960 - RODA CARRO DE MAO COMPLETA,"87169090 085394 REI DA FER 1 UN 4,00","88,67"
"3,25X8¿",,
32182 - RODA CARRO DE MAO MACICO -,"87169090 055466 TAMBASA AT 1 UN 0,00","63,02"
METALOSA,,
51717 - RODA CARRO DE MAO METALOSA,"87169090 055098 TAMBASA AT 1 UN 5,00","42,95"
30139 - RODA CARRO MAO COMPLETA MACICA,"87169090 973769 WORKER 1 UN 1,00","127,06"
"53718 - RODA ROLAMENTO ROLETE 3,25-3,50X8","87169090 118060 NEGRAO 1 UN -2,00","67,77"
26654 - RODEL CORTADOR DE PISOS CORTAG,"73182200 LIDER 1 UN -1,00","17,34"
PEQU,,
44997 - RODEL CORTAG 80MM,"84669100 61350 CORTAG 1 UN 16,00","20,39"
18210 - RODEL DISCO DUPLO 10MM,"82079000 IW5871 IRWIN 1 UN 4,00","47,25"
53926 - RODEL SCORING WHEEL 80MM,"84669100 5050.437.001 CORTAG 1 PC 16,00","18,94"
Usuário CLAUDIO FILHO,139 / 184 Eptus ERP Enterprise v.6.04.01.001,
"",,Pág: 140
"",LOURENCO E SILVA LTDA,
"",CNPJ : 07626439000173 IE : 152496416,
"",9491199073 94991199073 CANAÃ DOS CARAJÁS / PA,
"","paulistamconstrucoes@hotmail.com AVENIDA DOS PIONEIROS, 126-B",
"",CENTRO,
"",01/10/2025 07:40:32,
"",Lista de preços,
56133 - RODIZIO GIRA.100MM PLAC.CZ COLSON,"87169090 112213 ARMARINHO 1 UN 6,00","62,24"
12505 - RODIZIO P/CORTINA,"73182200 SILVANA 1 UN 334,00","0,27"
54946 - RODIZIO P/MOVEIS 35MM C/FREIO,"83022000 3100663 LOTUS 1 UN 5,00","13,51"
53589 - RODIZIO P/MOVEIS 35MM S/FREIO,"83022000 3563 LOTUS 1 UN 11,00","11,97"
53411 - RODIZIO P/MOVEIS 50MM C/FREIO,"83022000 3100665 LOTUS 1 UN 7,00","16,81"
53410 - RODIZIO P/MOVEIS 50MM S/FREIO,"83022000 119439 TAMBASA AT 1 UN 28,00","14,69"
54945 - RODIZIO P/MOVEIS 75MM C/FREIO,"83022000 3568 LOTUS 1 UN 1,00","39,95"
53588 - RODIZIO P/MOVEIS 75MM S/FREIO,"83022000 3101596 SOPRANO 1 UN 15,00","29,17"
33979 - RODO ALUMINIO P/PORTA 90CM,"76042920 3390 TAMBASA AT 1 UN -12,00","15,99"
54542 - RODO PLASTICO 60CM C/CABO EM,"96039000 RODO/6AP*PR ASTRA S/A 1 UN 6,00","46,52"
ALUMIN,,
34223 - ROLAMENTO P/TRONCO 3/16,"84821000 133 AFG METALU 1 PR 2,00","187,07"
51501 - ROLDANA 30X30,"39259090 074439 NEGRAO 1 UN 6,00","0,54"
52577 - ROLDANA P/PORTAO 2.1/2¿,"83022000 146625 NEGRAO 1 UN -4,00","24,87"
41289 - ROLDANA P/PORTAO 3¿,"84821010 4128 MARCA 1 UN -4,00","23,18"
957 - ROLDANA PLASTICO N103 (36X36),"39259090 074440 TAMBASA AT 1 UN 350,00","0,75"
14117 - ROLDANA PORCELANA 72X72MM,"85472090 47001 MARTINS 1 UN 26,00","11,53"
48461 - ROLDANA REFOR. FERRO N08CM,"73261900 086380 TAMBASA AT 1 UN 2,00","40,05"
P/POCO,,
7340 - ROLDANA REFOR. FERRO N10CM,"73261900 149837 TAMBASA AT 1 UN 5,00","40,20"
P/POCO,,
7331 - ROLDANA REFOR. FERRO N12CM,"73261900 149845 TAMBASA AT 1 UN 2,00","47,83"
P/POCO,,
7323 - ROLDANA REFOR. FERRO N14CM,"73261900 149853 ORMEL 1 UN 6,00","68,37"
P/POCO,,
51242 - ROLDANA REFOR. FERRO N18CM,"73261900 149870 TAMBASA AT 1 UN 0,00","85,43"
P/POCO,,
256 - ROLETE PAPEL HIGIENICO,"39229000 007006 TAMBASA AT 1 UN 22,00","3,71"
55815 - ROLO ANTIRESPINGO 05CM C/SUP,"96034010 41884 ATLAS 1 UN 0,00","9,23"
773/5,,
55542 - ROLO ANTIRESPINGO 09CM C/SUP,"96034010 41887 ATLAS 1 UN 3,00","11,23"
773/9,,
55222 - ROLO ANTIRESPINGO 23CM 8095 ECON,"96034010 490822 CONDOR 1 UN 158,00","24,02"
52444 - ROLO ANTIRESPINGO REF. 1374 23CM,"96034010 61374230 TIGRE 1 UN -16,00","31,91"
55085 - ROLO ANTIRRESPINGO ECO 1376 23CM,"96034010 61376230 TIGRE 1 UN -9,00","17,90"
52394 - ROLO ANTIRRESPINGO REF 1377 15CM,"96034010 61377150 TIGRE 1 UN 14,00","22,68"
40568 - ROLO ANTIRRESPINGO REF 1377 9CM,"96034010 61377090 TIGRE 1 UN -9,00","16,89"
51062 - ROLO CHAPISCO 23CM,"96034010 AT110/85 ATLAS 1 UN 7,00","18,06"
55548 - ROLO D/EMBALAG DF-4M X100M X100,"39239090 2302 NEGRAO 1 UN 2,00","17,29"
R30,,
55546 - ROLO DE EMBALAGEM-4M X100M X100,"39239090 2345 NEGRAO 1 UN 10,00","25,92"
R30,,
55547 - ROLO DE EMBALAGEM-6M X100M X100,"39239090 2333 NEGRAO 1 UN 5,00","29,62"
R45,,
56557 - ROLO ESPUMA 1332-230 CHAP.ROLADO,"96034010 61332230 TIGRE 1 UN 9,00","25,11"
BR,,
51687 - ROLO ESPUMA 1342-23CM,"96034010 PINCEIS TI 1 UN 4,00","12,29"
36692 - ROLO ESPUMA 23CM ATLAS,"96034010 406/23 ATLAS 1 UN 12,00","14,06"
36790 - ROLO ESPUMA POLIESTER 15CM,"96034010 61341150 TIGRE 1 UN -9,00","11,28"
51060 - ROLO ESPUMA POLIESTER 9CM,"96034010 61341090 TIGRE 1 UN 15,00","9,61"
52256 - ROLO ESPUMA POLYESTER 5CM,"96034010 406/5 TIGRE 1 UN 24,00","7,93"
56237 - ROLO LA CARNEIRO 09CM,"96034010 AT328/5 ATLAS 1 UN -1,00","20,00"
56236 - ROLO LA CARNEIRO 15CM,"96034010 AT328/5 ATLAS 1 UN -2,00","20,00"
40576 - ROLO LA CARNEIRO 5CM,"96034010 AT328/5 ATLAS 1 UN -10,00","9,50"
52742 - ROLO LA CARNEIRO C/SUP 23CM,"96034010 408209 MARTINS 1 UN -111,00","31,89"
CONDOR,,
Usuário CLAUDIO FILHO,140 / 184 Eptus ERP Enterprise v.6.04.01.001,
"",,Pág: 141
"",LOURENCO E SILVA LTDA,
"",CNPJ : 07626439000173 IE : 152496416,
"",9491199073 94991199073 CANAÃ DOS CARAJÁS / PA,
"","paulistamconstrucoes@hotmail.com AVENIDA DOS PIONEIROS, 126-B",
"",CENTRO,
"",01/10/2025 07:40:32,
"",Lista de preços,
46477 - ROLO LA CARNEIRO EXTRA 23CM,"96034010 322/22 ATLAS 1 UN -10,00","64,70"
46450 - ROLO LA CARNEIRO PROFISSIONAL,"96034010 61322230 TIGRE 1 UN 35,00","77,09"
23CM,,
56559 - ROLO LA PELE CARNEIRO 1328-230,"96034010 61328230 TIGRE 1 UN 12,00","57,90"
54866 - ROLO LA POLIPOP 15CM REF:2015,"96034010 114189 TAMBASA AT 1 UN -2,00","9,45"
56170 - ROLO LA S/CB 46CM ANTIGOTA DUPLO,"96034010 28099 ATLAS 1 UN 5,00","80,56"
ATLAS #I  - AT92,,
56129 - ROLO LA SINT 1365-230 RESIFACIL,"96034010 61365230 TIGRE 1 UN 1,00","20,84"
56128 - ROLO LA SINT 1366-090,"96034010 61366090 TIGRE 1 UN 41,00","10,53"
56119 - ROLO LA SINT 1366-150,"96034010 61366015 TIGRE 1 UN 49,00","18,15"
55264 - ROLO LA SINT 1375 150 SEM RESPINGO,"96034010 61375150 TIGRE 1 UN -6,00","16,18"
53923 - ROLO LA SINTETICA 1366-050 5CM,"96034010 61366050 TIGRE 1 UN 24,00","7,45"
54895 - ROLO LA SINTETICA 15CM ROLA-FACIL,"96034010 406818 ATLAS 1 UN 8,00","13,39"
5959 - ROLO LA SINTETICA 23CM REF 1312,"96034010 61312230 TIGRE 1 UN 10,00","20,32"
56269 - ROLO LA SINTETICA 773/19 - 23CM,"96034010 2003.107.123 ATLAS 1 UN 10,00","15,23"
46990 - ROLO MAGIEFEITOS ADOLESCENTE,"96034010 ATLAS 1 UN 2,00","28,71"
AT1162,,
56239 - ROLO MICROFIBRA 09CM,"96034010 078681 TIGRE 1 UN 0,00","20,00"
56238 - ROLO MICROFIBRA 15CM,"96034010 078681 TIGRE 1 UN -1,00","14,00"
56240 - ROLO MICROFIBRA 23CM,"96034010 078681 TIGRE 1 UN 0,00","20,00"
36722 - ROLO P/ASSOALHO 1378-23CM TIGRE,"96034010 61381230 TIGRE 1 UN 21,00","5,71"
52743 - ROLO PINTURA LA MISTA 23CM,"96034010 228/22 ATLAS 1 UN 6,00","27,11"
54760 - ROLO PINTURA LA MISTA 5CM,"96034010 AT228/5 ATLAS 1 UN 14,00","9,30"
54868 - ROLO RESIMAX 09CM REF 339/9A,"96034010 053941 ATLAS 1 UN 2,00","20,51"
43192 - ROLO RESIMAX 15CM REF 339/15A,"96034010 2003.246.015 ATLAS 1 UN 5,00","32,37"
54867 - ROLO RESIMAX 5CM REF 339/55A,"96034010 2003.246.005 ATLAS 1 UN -6,00","12,10"
50574 - ROLO RESIMAX LA SINTETICA 23CM,"96034010 053943 ATLAS 1 UN 11,00","34,05"
55603 - ROLO TEXT MACARRAO 10CM,"96034010 26659 ATLAS 1 UN 0,00","45,04"
AT155/10SR,,
56030 - ROLO TEXT.MED.FIB.23CMS/S230 TIGRE,"96034010 078681 TIGRE 1 UN 9,00","42,66"
56120 - ROLO TEXTURA 1352-090,"96034010 61352090 TIGRE 1 UN 8,00","26,84"
52446 - ROLO TEXTURA 23CM CABELO NEGO,"96034010 053092 ATLAS 1 UN -2,00","30,19"
33308 - ROLO TEXTURA MAGIEFEITOS AT1107,"96034010 AT1107 ATLAS 1 UN 0,00","40,68"
54190 - ROLO TEXTURA MAGIEFEITOS AT1109,"96034010 AT1109 ATLAS 1 UN 0,00","40,67"
54191 - ROLO TEXTURA MAGIEFEITOS AT1162,"96034010 AT1162 ATLAS 1 UN 0,00","40,67"
54189 - ROLO TEXTURA MAGIEFEITOS AT1165,"96034010 AT1165 ATLAS 1 UN 1,00","40,67"
36773 - ROLO TEXTURA MAGIEFEITOS INFANTIL,"96034010 ATLAS 1 UN 3,00","30,31"
51064 - ROLO TEXTURA MEDIA 10CM,"96034010 AT155/10SR TIGRE 1 UN 11,00","29,97"
53298 - ROLO TEXTURA MEDIA 23CM,"96034010 61352230 TIGRE 1 UN 9,00","65,53"
54851 - ROST OFF DESENGRIPANTE,"38249941 0890200312 WURTH 1 UN 3,00","64,12"
600ML/400G,,
52170 - ROTOR COM EIXO 6501523,"79070090 KIT CARAJAS CO 1 BR 0,00","0,00"
52174 - ROTOR EIXO PE185-4 1.4 021,"79070090 KITS CARAJAS CO 1 BR 0,00","0,00"
52175 - ROTOR EIXO PE185-4 1.4 021,"79070090 REPARO CARAJAS CO 1 BR 0,00","0,00"
52194 - ROTOR INI65200 USINADO 191MM,"79070090 CARAJAS CO 1 BR 0,00","654,57"
51771 - ROUPEIRO TELADO C/CESTO,"94037000 RB5*GBA-BR ASTRA S/A 1 UN 1,00","121,53"
46X47X62CM,,
55158 - SABAO EM PO TIXAN 800G,"34025000 1703132 MARTINS 1 UN 20,00","16,50"
54784 - SABAO PO OMO LAV.PE,"34025000 1702437 MARTINS 1 UN 9,00","27,85"
51035 - SABONETE LIQUIDO ERVA DOCE,"34012010 TAMBASA AT 1 UN 1,00","35,29"
5LITROS,,
32450 - SABONETEIRA 3031,"84818019 3031 ICO METAL 1 UN 1,00","76,89"
55931 - SABONETEIRA AGUIA - 6530,"76152000 3932 AGUIA 1 UN -2,00","33,34"
Usuário CLAUDIO FILHO,141 / 184 Eptus ERP Enterprise v.6.04.01.001,
"",,Pág: 142
"",LOURENCO E SILVA LTDA,
"",CNPJ : 07626439000173 IE : 152496416,
"",9491199073 94991199073 CANAÃ DOS CARAJÁS / PA,
"","paulistamconstrucoes@hotmail.com AVENIDA DOS PIONEIROS, 126-B",
"",CENTRO,
"",01/10/2025 07:40:32,
"",Lista de preços,
51858 - SABONETEIRA ARAUJO UNICA,"76152000 02002 ARAUJO MET 1 UN 1,00","16,94"
56551 - SABONETEIRA ARENITO C/FIXACAO,"76152000 9937486 MARCHEZAN 1 UN 3,00","20,79"
DUPLA 16004A,,
54864 - SABONETEIRA C/VENTOSA,"39259090 AV/SAB*BR1 ASTRA S/A 1 UN 5,00","41,92"
28100 - SABONETEIRA CRISTAL FIXAR BELO,"39259090 TAMBASA AT 1 UN 3,00","11,50"
BANH,,
24627 - SABONETEIRA CROMADO POP,"74182000 290706-41 BLUKIT 1 UN -10,00","50,40"
36820 - SABONETEIRA EMBUTIR INOX 18X12X11,"39259090 PROFAX MET 1 UN 2,00","33,98"
A,,
36870 - SABONETEIRA FAME,"39229000 01331890 FAME 1 UN 11,00","27,58"
20028 - SABONETEIRA INOX C/FURO OVAL,"76152000 34473 TAMBASA AT 1 UN 12,00","31,49"
CLARA,,
50843 - SABONETEIRA KELLY 4433,"73182200 KELLY 1 UN 0,00","217,31"
52514 - SABONETEIRA LAKE 4633CR,"76169900 4633 CR KELLY 1 UN 2,00","133,36"
36838 - SABONETEIRA LOUCA ICASA AREIA,"25059000 CENTER MAT 1 UN 1,00","9,52"
36846 - SABONETEIRA LOUCA ICASA AZUL,"73182200 CENTER MAT 1 UN 1,00","9,52"
21148 - SABONETEIRA LOUÇA ICASA BRANCA,"73182200 ICASA 1 UN -2,00","9,52"
36862 - SABONETEIRA LOUCA ICASA OCRE,"73182200 CENTER MAT 1 UN 1,00","9,52"
55369 - SABONETEIRA METAL POLIDO DI BASE,"76152000 PR2834 ATLAS 1 UN 0,00","29,47"
41378 - SABONETEIRA MILANO ACRILICO,"73182200 RF BRASIL 1 UN 0,00","6,99"
CROMADO,,
52829 - SACADOR POLIAS 2 GARRAS 8¿,"82054000 GEDORE 1 UN 0,00","193,00"
52830 - SACADOR POLIAS 3 GARRAS 4¿,"82054000 GEDORE 1 UN 0,00","273,92"
24910 - SACHO 2 PONTAS C/CABO 43CM,"82013000 15716 RAMADA 1 UN -1,00","29,16"
TRAMON,,
24961 - SACHO CORACAO C/CABO 60CM,"82013000 77800201 TRAMONTINA 1 UN 0,00","28,35"
43940 - SACO LIXO 100L,"39232190 084281 ORMEL 1 RL 252,00","8,07"
55165 - SACO LIXO 100L AZ ROLO,"39232190 009243 ARMARINHO 1 UN 10,00","27,71"
55166 - SACO LIXO 50L PT DUBONO ROLO,"39232190 084280 ARMARINHO 1 RL 252,00","10,05"
55160 - SACOLA PRATIK BCA 30X40 5KG,"39232190 1000440 MARTINS 1 UN 1,00","178,25"
55132 - SACOLA SUPERM 030X040CM CZA,"39232190 113762 TAMBASA AT 1 UN 4,00","146,46"
UNIPLAS,,
55133 - SACOLA SUPERM 040X050CM CZA,"39232190 113763 TAMBASA AT 1 UN 2,00","146,46"
UNIPLAS,,
21849 - SAIBO,"73182200 ADAO 1 MT 0,00","23,20"
24350 - SAIBRO,"73182200 A.J RORATO 1 MT 0,00","0,00"
53136 - SAPATILHA P/CABO ACO 13MM,"85299020 17496 TAMBASA AT 1 UN 0,00","5,51"
55587 - SELADOR ACRILICO 18LT BR - ELIT TIN,"32141020 42031 NEGRAO 1 UN 1,00","123,66"
56555 - SELADOR ACRILICO PIGMENTADO,"32091010 31BD LEINERTEX 1 UN 18,00","112,60"
VALLECOR 14L,,
56098 - SELADOR ACRILICO PIGMENTADO 15LT,"32091010 019547 VELOZ 1 UN 16,00","115,35"
"56180 - SELADOR ACRILICO PIGMENTADO 3,6LT","32091010 002807 VELOZ 1 UN 0,00","38,48"
13757 - SELADOR ACRILICO VIVACOR 3.6LT,"32091010 1501 LEINERTEX 1 UN 8,00","48,93"
50083 - SELADOR ACRILICO VIVACOR BALDE,"32091010 15BD LEINERTEX 1 UN 0,00","189,38"
16LT,,
9270 - SELADOR LUZTOL 900ML,"32091010 LUZTOL 1 UN 0,00","13,76"
27162 - SELADOR MADEIRA 3.6ML,"32149000 078887 EUCATEX 1 UN 6,00","148,37"
18945 - SELADOR MADEIRA 900ML,"32089029 9252 EUCATEX 1 UN 13,00","52,34"
54305 - SELADOR PVA 15LT,"32149000 019556 VELOZ 1 UN -3,00","110,64"
"55292 - SELADOR PVA 3,6LT","32149000 002812 VELOZ 1 UN -1,00","39,70"
53345 - SELANTE BRASCOLA BRANCO 280ML,"39069019 408101 WURTH 1 UN 37,00","18,70"
56430 - SELANTE PU 360G PU40 - PRETO,"35069190 089706 ARMARINHO 1 UN 8,00","17,77"
51444 - SELANTE PU 360ML CINZA,"35069190 10611 NOVA DISTR 1 UN 8,00","20,59"
55270 - SELANTE PU BC 400G GARRA,"35069190 089074 TAMBASA AT 1 UN -19,00","27,09"
Usuário CLAUDIO FILHO,142 / 184 Eptus ERP Enterprise v.6.04.01.001,
"",,Pág: 143
"",LOURENCO E SILVA LTDA,
"",CNPJ : 07626439000173 IE : 152496416,
"",9491199073 94991199073 CANAÃ DOS CARAJÁS / PA,
"","paulistamconstrucoes@hotmail.com AVENIDA DOS PIONEIROS, 126-B",
"",CENTRO,
"",01/10/2025 07:40:32,
"",Lista de preços,
51660 - SELIM 90 COLETOR 150X100MM C/TRAV,"39174090 CORRPLASTI 1 UN 0,00","14,57"
52972 - SELIM COMPACTO COLETOR OCRE,"39174090 CORRPLASTI 1 UN 0,00","14,98"
150X100,,
52973 - SELIM COMPACTO VINIL FORT 250X100,"39174090 03117000119 TIGRE 1 UN 0,00","56,63"
